"mz_rt_min"	"calculated_mw"	"exact_mass"	"kegg_id"	"name"	"formula"	"pathways"	"annotation"
"120.06582_1.058"	119.05854	119.0582	"C05519"	"L-Allothreonine; L-allo-Threonine; Aminoacyl-L-methionine"	"C4H9NO3"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Glycine, serine and threonine metabolism;Methane metabolism;Microbial metabolism in diverse environments;Cysteine and methionine metabolism;Sulfoquinovose metabolism;2-Oxocarboxylic acid metabolism;Lysine biosynthesis"	"putative_single"
"121.06509_1.182"	120.05779	120.0575	"C07113"	"Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan"	"C8H8O"	"Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Ethylbenzene degradation;Chemical carcinogenesis - DNA adducts"	"putative_single"
"121.06512_1.461"	120.05781	120.0575	"C07113"	"Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan"	"C8H8O"	"Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Ethylbenzene degradation;Chemical carcinogenesis - DNA adducts"	"putative_single"
"124.9902_1.442"	125.9975	125.9987	"C05123"	"2-Hydroxyethanesulfonate; 2-Hydroxyethanesulfonic acid; 2-Hydroxyethane-1-sulfonic acid; Isethionic acid; Isethionate; Dimethyl methylmaleate; Methylmaleic acid, dimethyl ester; (1-Ribosylimidazole)-4-acetate"	"C2H6O4S"	"Metabolic pathways;Lipoic acid metabolism;Cortisol synthesis and secretion;Cushing syndrome;Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Taurine and hypotaurine metabolism;Sulfoquinovose metabolism;Pyruvate metabolism;Histidine metabolism;Steroid hormone biosynthesis;Ovarian steroidogenesis"	"putative_single"
"125.02327_1.605"	126.03078	126.0317	"C11101"	"5-Hydroxymethyl-2-furaldehyde; HMF; 5-Hydroxymethylfurfural; Hymexazol"	"C6H6O3"	"Microbial metabolism in diverse environments;Furfural degradation"	"putative_single"
"128.07088_0.983"	127.06361	127.0633	"C08268"	"L-Baikiain; 4,5-Dehydropipecolic acid; trans-4-Hydroxy-L-proline betaine; 3-(Methylsulfanyl)propanoate; 3-Methylthiopropanoic acid"	"C6H9NO2"	"Metabolic pathways;Microbial metabolism in diverse environments;Cysteine and methionine metabolism;Sulfur metabolism"	"putative_single"
"128.07095_1.193"	127.06359	127.0633	"C08268"	"L-Baikiain; 4,5-Dehydropipecolic acid; trans-4-Hydroxy-L-proline betaine; 3-(Methylsulfanyl)propanoate; 3-Methylthiopropanoic acid"	"C6H9NO2"	"Metabolic pathways;Microbial metabolism in diverse environments;Cysteine and methionine metabolism;Sulfur metabolism"	"putative_single"
"130.04982_1.255"	131.05709	131.0582	"C19706"	"cis-3-Hydroxy-L-proline; cis-3-Hydroxyproline; 5-epi-Aristolochene; (+)-5-epi-Aristolochene; [L-Asp(4-L-Arg)]n-L-Asp"	"C5H9NO3"	"Metabolic pathways;Biosynthesis of secondary metabolites;Arginine and proline metabolism;Cyanoamino acid metabolism;Biosynthesis of various plant secondary metabolites;Biosynthesis of phenylpropanoids;2-Oxocarboxylic acid metabolism;Glucosinolate biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis"	"putative_single"
"130.04982_1.577"	131.05708	131.0582	"C19706"	"cis-3-Hydroxy-L-proline; cis-3-Hydroxyproline; 5-epi-Aristolochene; (+)-5-epi-Aristolochene; [L-Asp(4-L-Arg)]n-L-Asp"	"C5H9NO3"	"Metabolic pathways;Biosynthesis of secondary metabolites;Arginine and proline metabolism;Cyanoamino acid metabolism;Biosynthesis of various plant secondary metabolites;Biosynthesis of phenylpropanoids;2-Oxocarboxylic acid metabolism;Glucosinolate biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis"	"putative_single"
"130.06531_7.264"	129.05807	129.0578	"C06413"	"Quinoline; Benzo[b]pyridine; Quinoline-4-carboxylic acid; Cinchonic acid; Precorrin 5"	"C9H7N"	"Metabolic pathways;Biosynthesis of cofactors;D-Amino acid metabolism;Porphyrin metabolism"	"putative_single"
"130.08618_6.277"	131.09346	131.0946	"C02486"	"(3R)-beta-Leucine; (3R)-3-Amino-4-methylpentanoic acid; (3R)-3-Amino-4-methylvaleric acid; 1,4-beta-D-Mannan"	"C6H13NO2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Pyruvate metabolism;Fructose and mannose metabolism;Isoflavonoid biosynthesis"	"putative_multi"
"130.08618_6.277"	131.09346	131.0946	"C21096"	"Peptidyl-carrier protein; PCP; [Peptidyl-carrier protein]; [pcp]; L-allo-Isoleucine"	"C6H13NO2"	"Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments"	"putative_multi"
"131.03383_2.548"	132.04112	132.0423	"C03589"	"4-Hydroxy-2-oxopentanoate; 4-Hydroxy-2-oxovalerate; 4-Hydroxyphenylglyoxylic acid; 2-(4-Hydroxyphenyl)-2-oxoacetate; 5-Chloro-3-methylcatechol"	"C5H8O4"	"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Monobactam biosynthesis;Phenylalanine metabolism;Benzoate degradation;Dioxin degradation;Xylene degradation;Degradation of aromatic compounds;Fatty acid metabolism;Biosynthesis of various nucleotide sugars;Biosynthesis of nucleotide sugars;Primary bile acid biosynthesis;Biosynthesis of vancomycin group antibiotics;Aminobenzoate degradation;Biosynthesis of unsaturated fatty acids"	"putative_single"
"131.07024_5.953"	132.07751	132.0786	"C03498"	"Ethyl 3-oxobutanoate; Ethyl acetoacetate; (3-Indolyl)-glycerol phosphate; C1-(3-Indolyl)-glycerol 3-phosphate; (1S,2R)-1-C-(Indol-3-yl)glycerol 3-phosphate; Indole-3-glycerol phosphate; Ester of phosphonic acid"	"H2PO3R"	"Metabolic pathways;Biosynthesis of secondary metabolites;Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Biosynthesis of various plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;Indole diterpene alkaloid biosynthesis;Benzoxazinoid biosynthesis"	"putative_single"
"132.0657_1.109"	131.05842	131.0582	"C19706"	"cis-3-Hydroxy-L-proline; cis-3-Hydroxyproline; 5-epi-Aristolochene; (+)-5-epi-Aristolochene; [L-Asp(4-L-Arg)]n-L-Asp"	"C5H9NO3"	"Metabolic pathways;Biosynthesis of secondary metabolites;Arginine and proline metabolism;Cyanoamino acid metabolism;Biosynthesis of various plant secondary metabolites;Biosynthesis of phenylpropanoids;2-Oxocarboxylic acid metabolism;Glucosinolate biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis"	"putative_single"
"132.10212_1.237"	131.09484	131.0946	"C02486"	"(3R)-beta-Leucine; (3R)-3-Amino-4-methylpentanoic acid; (3R)-3-Amino-4-methylvaleric acid; 1,4-beta-D-Mannan"	"C6H13NO2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Pyruvate metabolism;Fructose and mannose metabolism;Isoflavonoid biosynthesis"	"putative_multi"
"132.10212_1.237"	131.09484	131.0946	"C21096"	"Peptidyl-carrier protein; PCP; [Peptidyl-carrier protein]; [pcp]; L-allo-Isoleucine"	"C6H13NO2"	"Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments"	"putative_multi"
"133.01309_1.239"	134.0204	134.0215	"C00711"	"Malate; Malic acid; 2-Hydroxybutanedioic acid; Oleic acid; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan; Panose"	"C4H6O5"	"Metabolic pathways;One carbon pool by folate;Biosynthesis of secondary metabolites;Longevity regulating pathway - worm;ABC transporters;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;Carbohydrate digestion and absorption;Biosynthesis of plant secondary metabolites;Folate transport and metabolism;Pentose and glucuronate interconversions;Fatty acid biosynthesis;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Bacterial chemotaxis;Biosynthesis of unsaturated fatty acids;Cutin, suberine and wax biosynthesis"	"putative_single"
"133.0131_1.402"	134.02037	134.0215	"C00711"	"Malate; Malic acid; 2-Hydroxybutanedioic acid; Oleic acid; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan; Panose"	"C4H6O5"	"Metabolic pathways;One carbon pool by folate;Biosynthesis of secondary metabolites;Longevity regulating pathway - worm;ABC transporters;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;Carbohydrate digestion and absorption;Biosynthesis of plant secondary metabolites;Folate transport and metabolism;Pentose and glucuronate interconversions;Fatty acid biosynthesis;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Bacterial chemotaxis;Biosynthesis of unsaturated fatty acids;Cutin, suberine and wax biosynthesis"	"putative_single"
"135.04406_4.288"	136.05171	136.0524	"C06224"	"Fe(III)hydroxamate; Fe(III)hydroxamic acid; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate; 3,4-Dihydroxystyrene"	"C8H8O2"	"Metabolic pathways;Two-component system;ABC transporters;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;C5-Branched dibasic acid metabolism;Phenylpropanoid biosynthesis"	"putative_multi"
"135.04406_4.288"	136.05171	136.0524	"C14087"	"3-Methylsalicylaldehyde; 2-Hydroxy-3-methylbenzaldehyde; alpha-Naphthoic acid; 3-Methylsalicylate"	"C8H8O2"	"Microbial metabolism in diverse environments;Degradation of aromatic compounds;Naphthalene degradation"	"putative_multi"
"135.04406_4.288"	136.05171	136.0524	"C21166"	"4-Hydroxy-3-methylbenzoate; 4-Hydroxy-m-toluate; Hydrocaffeyl-CoA; 4-Hydroxy-3-methylbenzaldehyde"	"C8H8O2"	"Microbial metabolism in diverse environments;Lipopolysaccharide biosynthesis;Toluene degradation"	"putative_multi"
"136.07583_1.219"	135.06859	135.0684	"C07565"	"Acetanilide; N-Phenylacetamide; N-Acetylarylamine; Pimozide"	"C8H9NO"	"Drug metabolism - cytochrome P450;Sulfonamide derivatives - overview"	"putative_multi"
"136.07583_1.219"	135.06859	135.0684	"C15561"	"Benzylamine; Benzenemethanamine; (S)-2-Hydroxyalkanoic acid; (S)-2-Hydroxycarboxylic acid; (2S)-2-Hydroxycarboxylate; N-Benzylformamide"	"C8H9NO"	"Metabolic pathways;Biosynthesis of secondary metabolites;Riboflavin metabolism;Isoflavonoid biosynthesis"	"putative_multi"
"136.07583_1.219"	135.06859	135.0684	"C16075"	"(Z)-Phenylacetaldehyde oxime; Z-Phenylacetaldoxime; CRH; Urotensin I"	"C8H9NO"	"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Cyanoamino acid metabolism;Styrene degradation"	"putative_multi"
"136.07583_1.719"	135.06857	135.0684	"C07565"	"Acetanilide; N-Phenylacetamide; N-Acetylarylamine; Pimozide"	"C8H9NO"	"Drug metabolism - cytochrome P450;Sulfonamide derivatives - overview"	"putative_multi"
"136.07583_1.719"	135.06857	135.0684	"C15561"	"Benzylamine; Benzenemethanamine; (S)-2-Hydroxyalkanoic acid; (S)-2-Hydroxycarboxylic acid; (2S)-2-Hydroxycarboxylate; N-Benzylformamide"	"C8H9NO"	"Metabolic pathways;Biosynthesis of secondary metabolites;Riboflavin metabolism;Isoflavonoid biosynthesis"	"putative_multi"
"136.07583_1.719"	135.06857	135.0684	"C16075"	"(Z)-Phenylacetaldehyde oxime; Z-Phenylacetaldoxime; CRH; Urotensin I"	"C8H9NO"	"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Cyanoamino acid metabolism;Styrene degradation"	"putative_multi"
"136.07587_6.968"	135.06859	135.0684	"C07565"	"Acetanilide; N-Phenylacetamide; N-Acetylarylamine; Pimozide"	"C8H9NO"	"Drug metabolism - cytochrome P450;Sulfonamide derivatives - overview"	"putative_multi"
"136.07587_6.968"	135.06859	135.0684	"C15561"	"Benzylamine; Benzenemethanamine; (S)-2-Hydroxyalkanoic acid; (S)-2-Hydroxycarboxylic acid; (2S)-2-Hydroxycarboxylate; N-Benzylformamide"	"C8H9NO"	"Metabolic pathways;Biosynthesis of secondary metabolites;Riboflavin metabolism;Isoflavonoid biosynthesis"	"putative_multi"
"136.07587_6.968"	135.06859	135.0684	"C16075"	"(Z)-Phenylacetaldehyde oxime; Z-Phenylacetaldoxime; CRH; Urotensin I"	"C8H9NO"	"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Cyanoamino acid metabolism;Styrene degradation"	"putative_multi"
"137.03449_1.176"	138.04201	138.0429	"C00785"	"Urocanate; Urocanic acid; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol; tRNA(Tyr)"	"C6H6N2O2"	"Metabolic pathways;Renin secretion;Diabetic cardiomyopathy;Biosynthesis of secondary metabolites;Neuroactive ligand-receptor interaction;Neuroactive ligand signaling;Two-component system;Quorum sensing;ABC transporters;Arginine and proline metabolism;Cysteine and methionine metabolism;cAMP signaling pathway;Regulation of lipolysis in adipocytes;Pentose and glucuronate interconversions;Tyrosine metabolism;D-Amino acid metabolism;Phosphotransferase system (PTS);Histidine metabolism;Galactose metabolism;Teichoic acid biosynthesis;Mannose type O-glycan biosynthesis;Cornified envelope formation;Adrenergic signaling in cardiomyocytes;Chemical carcinogenesis - receptor activation;Fructose and mannose metabolism;Isoflavonoid biosynthesis;Hormone signaling"	"putative_single"
"137.05985_1.214"	136.05262	136.0524	"C06224"	"Fe(III)hydroxamate; Fe(III)hydroxamic acid; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate; 3,4-Dihydroxystyrene"	"C8H8O2"	"Metabolic pathways;Two-component system;ABC transporters;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;C5-Branched dibasic acid metabolism;Phenylpropanoid biosynthesis"	"putative_multi"
"137.05985_1.214"	136.05262	136.0524	"C14087"	"3-Methylsalicylaldehyde; 2-Hydroxy-3-methylbenzaldehyde; alpha-Naphthoic acid; 3-Methylsalicylate"	"C8H8O2"	"Microbial metabolism in diverse environments;Degradation of aromatic compounds;Naphthalene degradation"	"putative_multi"
"137.05985_1.214"	136.05262	136.0524	"C21166"	"4-Hydroxy-3-methylbenzoate; 4-Hydroxy-m-toluate; Hydrocaffeyl-CoA; 4-Hydroxy-3-methylbenzaldehyde"	"C8H8O2"	"Microbial metabolism in diverse environments;Lipopolysaccharide biosynthesis;Toluene degradation"	"putative_multi"
"139.05011_1.078"	140.05755	140.0586	"C05828"	"Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate; 5-Hydroxyindoleacetylglycine"	"C6H8N2O2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;2-Oxocarboxylic acid metabolism;Tryptophan metabolism;Histidine metabolism;Glucosinolate biosynthesis"	"putative_multi"
"139.05011_1.078"	140.05755	140.0586	"C13693"	"4,5,6,7-Tetrahydroisoxazolo(5,4-c)pyridin-3-ol; THIP; Gaboxadol; Isoguvacine"	"C6H8N2O2"	""	"putative_multi"
"139.0503_1.168"	138.04303	138.0429	"C00785"	"Urocanate; Urocanic acid; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol; tRNA(Tyr)"	"C6H6N2O2"	"Metabolic pathways;Renin secretion;Diabetic cardiomyopathy;Biosynthesis of secondary metabolites;Neuroactive ligand-receptor interaction;Neuroactive ligand signaling;Two-component system;Quorum sensing;ABC transporters;Arginine and proline metabolism;Cysteine and methionine metabolism;cAMP signaling pathway;Regulation of lipolysis in adipocytes;Pentose and glucuronate interconversions;Tyrosine metabolism;D-Amino acid metabolism;Phosphotransferase system (PTS);Histidine metabolism;Galactose metabolism;Teichoic acid biosynthesis;Mannose type O-glycan biosynthesis;Cornified envelope formation;Adrenergic signaling in cardiomyocytes;Chemical carcinogenesis - receptor activation;Fructose and mannose metabolism;Isoflavonoid biosynthesis;Hormone signaling"	"putative_single"
"141.01823_1.537"	160.03613	160.0372	"C20781"	"2,4-Diketo-3-deoxy-L-fuconate; 2,4-Didehydro-3-deoxy-L-fuconate; (5S)-5-Hydroxy-2,4-dioxohexanoate; 2,4-Diketo-3-deoxy-L-rhamnonate; 2,4-Didehydro-3-deoxy-L-rhamnonate; Propane"	"C6H8O5"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Thiamine metabolism;Microbial metabolism in diverse environments;Butanoate metabolism;Fructose and mannose metabolism;Styrene degradation;Monoterpenoid biosynthesis"	"putative_single"
"141.06591_1.077"	140.05867	140.0586	"C05828"	"Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate; 5-Hydroxyindoleacetylglycine"	"C6H8N2O2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;2-Oxocarboxylic acid metabolism;Tryptophan metabolism;Histidine metabolism;Glucosinolate biosynthesis"	"putative_multi"
"141.06591_1.077"	140.05867	140.0586	"C13693"	"4,5,6,7-Tetrahydroisoxazolo(5,4-c)pyridin-3-ol; THIP; Gaboxadol; Isoguvacine"	"C6H8N2O2"	""	"putative_multi"
"143.03389_0.874"	144.04131	144.0423	"C02295"	"Methylitaconate; 2-Methylene-3-methylsuccinate; Phenyldiazane; Phosphoramide; N-Acetyldiamine"	"C6H8O4"	"Metabolic pathways;Thermogenesis;Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments;Arginine and proline metabolism;Tryptophan metabolism"	"putative_multi"
"143.03389_0.874"	144.04131	144.0423	"C02929"	"2-Methyleneglutarate; alpha-Methylene glutarate; 2-Methylideneglutaric acid; (E)-Indol-3-ylacetaldoxime; (Indol-3-yl)acetaldehyde oxime; 2-Hydroxy carboxylate"	"C2H3O3R"	"Metabolic pathways;Biosynthesis of secondary metabolites;Nicotinate and nicotinamide metabolism;Chlorocyclohexane and chlorobenzene degradation;Lipoic acid metabolism;Microbial metabolism in diverse environments;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Valine, leucine and isoleucine degradation;Tryptophan metabolism;Cornified envelope formation;Sphingolipid metabolism;Glucosinolate biosynthesis"	"putative_multi"
"144.00903_1.4"	121.01989	121.0198	"C00736"	"Cysteine; 2-Amino-3-mercaptopropionic acid; D-Aldose2; 2,3-Butanedione; D-Serine"	"C3H7NO2S"	"Metabolic pathways;Biosynthesis of secondary metabolites;Thermogenesis;Taste transduction;Nicotinate and nicotinamide metabolism;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;D-Amino acid metabolism;Butanoate metabolism;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Vancomycin resistance;Lysine degradation;Nicotine addiction;Tropane, piperidine and pyridine alkaloid biosynthesis;Chemical carcinogenesis - receptor activation;Biosynthesis of 12-, 14- and 16-membered macrolides;Metabolism of xenobiotics by cytochrome P450"	"putative_single"
"145.01322_1.237"	146.02098	146.0215	"C05406"	"Gulono-1,4-lactone; Gulonolactone; 5,6beta-Epoxy-5beta-cholestan-3beta-ol; 5-Hydroxy-2,4-dioxopentanoate"	"C5H6O5"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Biosynthesis of terpenoids and steroids;Carotenoid biosynthesis"	"putative_single"
"145.01322_1.693"	146.02054	146.0215	"C05406"	"Gulono-1,4-lactone; Gulonolactone; 5,6beta-Epoxy-5beta-cholestan-3beta-ol; 5-Hydroxy-2,4-dioxopentanoate"	"C5H6O5"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Biosynthesis of terpenoids and steroids;Carotenoid biosynthesis"	"putative_single"
"145.09713_0.88"	146.10441	146.1055	"C01139"	"beta-Adrenergic receptor; [beta-Adrenergic receptor]; Adipoin; [Acetyl-CoA carboxylase]"	"C4H6N2O3R2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Glyoxylate and dicarboxylate metabolism;Fatty acid degradation;Other carbon fixation pathways;Microbial metabolism in diverse environments;Carbon metabolism;Pentose phosphate pathway;Ascorbate and aldarate metabolism;Benzoate degradation;Phosphonate and phosphinate metabolism;Butanoate metabolism;Terpenoid backbone biosynthesis;Biosynthesis of terpenoids and steroids;Lysine degradation;Tryptophan metabolism;Fatty acid metabolism;Aminobenzoate degradation;Caprolactam degradation"	"putative_single"
"147.11291_0.872"	146.10568	146.1055	"C01139"	"beta-Adrenergic receptor; [beta-Adrenergic receptor]; Adipoin; [Acetyl-CoA carboxylase]"	"C4H6N2O3R2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Glyoxylate and dicarboxylate metabolism;Fatty acid degradation;Other carbon fixation pathways;Microbial metabolism in diverse environments;Carbon metabolism;Pentose phosphate pathway;Ascorbate and aldarate metabolism;Benzoate degradation;Phosphonate and phosphinate metabolism;Butanoate metabolism;Terpenoid backbone biosynthesis;Biosynthesis of terpenoids and steroids;Lysine degradation;Tryptophan metabolism;Fatty acid metabolism;Aminobenzoate degradation;Caprolactam degradation"	"putative_single"
"150.05508_7.643"	149.0478	149.0477	"C00650"	"Poly(ribitol phosphate); Poly-1,5-ribitol phosphate; (Ribitol phosphate)n; (Ribitol phosphate)n+1; (2E)-2-Enoyl-CoA; 4-Hydroxymandelonitrile"	"C8H7NO2"	"Metabolic pathways;Purine metabolism;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from histidine and purine;Ascorbate and aldarate metabolism;C5-Branched dibasic acid metabolism;Fatty acid elongation;Starch and sucrose metabolism"	"putative_single"
"151.03908_4.176"	152.04636	152.0473	"C01972"	"m7G(5')pppAm-mRNA; mRNA containing a 2'-O-methyladenosine cap; 5-(N7-Methyl 5-triphosphoguanosine)-2'-O-methyladenosine-[mRNA]; (R)-Mandelic acid; 11-Oxosteroid"	"C27H40N10O23P4R(C5H8O6PR)n"	"Metabolic pathways;Glyoxylate and dicarboxylate metabolism;Microbial metabolism in diverse environments;Tryptophan metabolism;Aminobenzoate degradation"	"putative_multi"
"151.03908_4.176"	152.04636	152.0473	"C05852"	"2-Hydroxyphenylacetate; 2-Hydroxyphenylacetic acid; 2-Phenylethanol; (alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol"	"C8H8O3"	"Metabolic pathways;Biosynthesis of secondary metabolites;Thiamine metabolism;Microbial metabolism in diverse environments;Phenylalanine metabolism;Terpenoid backbone biosynthesis;Biosynthesis of terpenoids and steroids;Vancomycin resistance;Peptidoglycan biosynthesis;Phenylpropanoid biosynthesis;Styrene degradation;N-Glycan biosynthesis;Metabolic pathways;N-Glycan biosynthesis;Metabolic pathways;N-Glycan biosynthesis;Metabolic pathways;N-Glycan biosynthesis;Metabolic pathways"	"putative_multi"
"152.07069_6.888"	153.07806	153.079	"C04227"	"Octopamine; 1-(4-Hydroxyphenyl)-2-aminoethanol; p-Hydroxyphenylethanolamine; 2-Lysolecithin; 2-Lysophosphatidylcholine; 1-Acylglycerophosphocholine; 3-Acetylenic fatty acyl thioesters"	"C8H11NO2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Neuroactive ligand-receptor interaction;Efferocytosis;Valine, leucine and isoleucine biosynthesis;2-Oxocarboxylic acid metabolism;Glycerophospholipid metabolism;Choline metabolism in cancer"	"putative_single"
